"Klarna Invoice","Klarna Faktura"
"Klarna Account","Delbetalning"
"Klarna Campaign","Klarna Kampanj"
"Enabled","Aktiverad"
"Merchant ID","Butiks-ID"
"The merchant id that you have received from Klarna","Det butiks-ID du fått av Klarna"
"Shared secret","Delad hemlighet"
"The shared secret that you have received from Klarna","Den delade hemligheten du fått av Klarna"
"Title","Titel"
"Server","Server"
"Choose what server to make calls to","Välj vilken server du anropar"
"New order status","Ny orderstatus"
"Invoice fee","Fakturaavgift"
"In website currency","Websidans valuta"
"Invoice fee label","Namn på fakturaavgift"
"Minimum order amount","Minsta orderbelopp"
"Cancel pending reservations","Avbryt reservationer i pending"
"Automatically cancel orders when the reservation becomes pending","Avbryt ordrar automatiskt vars reservation är pending"
"Send invoice via e-mail","Skicka fakturan via e-post"
"If set to yes, Klarna will send out the invoices as soon as the reservation is activated","Om ja, skickar Klarna ut fakturan via e-post när reservationen aktiverats."
"Allow separate addresses","Tillåt olika adresser"
"Allow shipping address to be different from billing address. You might need acceptance from Klarna if activated","Tillåt annan leveransadress än fakturaadressen. Du behöver få detta godkänt av Klarna."
"Language","Språk"
"Testdrive","Testdrive"
"Live","Live"
"Allowed countries","Tillåtna länder"
"Specific countries","Specifika länder"
"Sort order","Sorteringsorder"
"URL to special logotype","URL till kampanjlogotyp"
"Special campaign methods have various logotypes depending on campaign, this is a way to choose a logotype from Klarna","Specialkampanjer har olika logotyper beroende på kampanj, man kan använda detta fält för att välja logotyp via länk från Klarna."
"Klarna invoice fee","Avgift för Klarna Faktura"
"Display Klarna invoice fee","Visa avgift för Klarna Faktura"
"Tax class for Klarna invoice fee","Momsklass för Klarna fakturaavgift"
"Klarna invoice fee prices","Klarna fakturaavgifts priser"
"Whether Klarna invoice fee set in admin includes tax","Om Klarna fakturaavgift som står i inställningen är inklusive moms."
"Update Pclasses","Uppdatera Pclasser."
"Installs the latest active payment classes (also known as pclasses). This will install both account type classes as well as special campaigns","Uppdaterar dom senaste pclasserna. Uppdaterar både Klarna Konto och Specialkampanjer."

"Please enter your personal ID and try again","Vänligen fyll i ditt personnummer och försök igen."
"You must create the credit memo from the invoice, not directly from the order, to update Klarna with the credited amount/items","Du måste skapa kreditfakturan från originalfakturan, inte från ordern, för att Klarna ska uppdatera krediterat belopp."
"Unable to pay with Klarna, please choose another payment method","Kan inte betala med Klarna, vänligen välj ett annat betalsätt."
"Fetching PClasses failed for store %s. (%s)","Hämta pclasser misslyckades för företaget %s. (%s)"
"Unknown","Okänt"
"Unknown address, please specify correct personal id in the payment selection and press Fetch again, or use another payment method","Okänd adress, ange ditt personnummer igen och tryck Hämta igen, eller välj ett annat betalningsalternativ."
"You must choose a payment plan","Du måste välja ett betalalternativ."
"Unexpected error, pclass does not exist, please reload page and try again","Okänt fel, pclassen finns inte, vänligen ladda om sidan och försök igen."
"Phonenumber must be properly entered","Telefonnummer måste fyllas i korrekt."
"Date of birth fields must be properly entered","Födelsedag måste fyllas i korrekt."
"Personal ID must not be empty","Personnummer får inte vara blankt."
"You need to agree to the terms to be able to continue","Du måste godkänna villkoren innan du kan gå vidare."
"You need to enter your gender to be able to continue","Du måste välja kön innan du kan gå vidare."
"Klarna was not able to cancel the reservation","Klarna kunde inte avbryta reservationen."
"Please enter a positive number in this field","Beloppet måste vara positivt."
"No address found. Verify the personal id and try again","Ingen adress hittades. Kontrollera personnummer och försök igen."
"Please note that both shipping and invoice address will be updated to this address when you place your order","Både leverans och fakturaadress kommer att uppdateras till denna adress när du lägger ordern."
"Please note that shipping address will be updated to this address when you place your order","Leveransadress kommer att uppdateras till denna adress när du lägger ordern."

"Invoice","Faktura"
"Refund","Kreditera"
"month","månad"
"Reservation","Reservation"
"Reservation Pending","Reservationen är ej klar"
"Reservation Denied","Reservationen nekades"
"Country","Land"
"Description","Beskrivning"
"Months","Månader"
"Minimum amount","Minsta belopp"
"Address","Adress"
"By submitting my data I consent to the processing of my data by Klarna for the purposes of identity- and credit assessment and the settlement of the purchase. I may revoke my %s for the processing of data and for the purposes for which this is possible according to law. The general %s apply.","Mit der Datenverarbeitung der für die Abwicklungdes Rechnungskaufes und einer Identitäts-und Bonitätsprüfung erforderlichen Daten durch Klarna bin ich einverstanden. Meine %s kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die %s des Händlers."
"Date of birth","Födelsedag"
"Gender","Kön"
"Male","Man"
"Female","Kvinna"
"Monthly cost","Månadskostnad"
"Total cost","Total kostnad"
"Start fee","Startavgift"
"Personal ID/Registration number","Personnummer/Org. nummer"
"Fetch ","Hämta"
"Identifying...","Identifierar..."
"Phone number","Telefonnummer"
"Discount (%s)","Rabatt (%s)"

"Gift Wrapping for Order","Presentinslagning för ordern"
"Gift Wrapping for Items","Presentinslagning för produkter"
"Printed Card","Printat kort"
"Gift Card","Presentkort"
"Customer Balance","Kundbalans"
"Reward Currency","Valuta för återbäring"

"YYMMDD-XXXX","ÅÅMMDD-XXXX"
"URL to terms and conditions","URL till villkor"
"URL to this stores own terms and conditions (only used in Germany and Austria)","URL till butikens villkor (används endast för Tyskland och Österrike)"
"terms and conditions","AGB"
"Testmode is active, only Klarna specific test customers will be allowed","Testläget är aktiverat, endast Klarnas test kunder kommer att fungera."
"Year","År"
"Month","Månad"
"Day","Dag"
"07xxxxxxxx","07xxxxxxxx"
